code,operator
20801,Orange
20802,Orange
20803,MobiquiThings
20804,Sisteer
20805,Globalstar
20806,Globalstar
20807,Globalstar
20808,Completel
20809,SFR
20810,SFR
20811,SFR
20812,Hewlett-Packard France4
20813,SFR
20814,RFF
20815,Free
20816,Free
20817,Legos
20818,Voxbone
20819,Altitude
20820,Bouygues Telecom
20821,Bouygues Telecom
20822,Transatel Mobile
20823,Virgin Mobile
20824,MobiquiThings
20825,Lycamobile
20826,NRJ Mobile
20827,Coriolis
20828,Astrium SAS
20829,IMC
20830,Syma Mobile
20831,Vectone / Delight Mobile (MVNO)
20835,Free
20888,Bouygues
20889,Fondation b-com
20890,Association Images & R̩seaux
20891,Orange
20892,Association Plate-forme Telecom10
20893,Thales
20894,Halys11
20895,Orange
20896,Axione12
20897,Thales
20898,Air France